Client,p2
Client 1,0.9157271377065694
Client 2,0.02931299001005383
Client 3,0.7948662581508974
Client 4,0.017880411483207292
Client 5,0.3555192117566245
Client 6,0.03499667607134804
Client 7,0.18451613811223644
Client 8,0.8242387571118844
Client 9,0.9649643722510198
Client 10,0.9591754146922511
Client 11,0.8163603312544462
Client 12,0.9579621619181853
Client 13,0.33934339423435245
Client 14,0.4278165145600862
Client 15,0.7618002697408516
Client 16,0.3363538302162248
Client 17,0.25547928501548345
Client 18,0.951589933948217
Client 19,0.8595046287174332
Client 20,0.28444317090745663
